,k_entry,k_exit,EMA_days_12,EMA_days_26,STD_rw,MXMN_rw,Sharpe,Daily_returns_ROVI,Position_ROVI
155,0.75,0.5,12.0,50.0,50.0,50.0,0.22083914406728794,-0.01309523809523827,0.0
156,0.75,0.5,9.0,26.0,50.0,50.0,4.692402606511334,-0.010856453558504175,-1.0
157,0.75,0.5,3.0,26.0,50.0,50.0,-2.1610092107822085,-0.0024390243902439046,1.0
158,0.75,0.5,12.0,48.0,50.0,50.0,-1.4853402899260721,-0.009779951100244544,1.0
159,0.75,0.5,12.0,46.0,50.0,50.0,5.861254132053388,0.024691358024691468,-1.0
160,0.75,0.5,3.0,26.0,50.0,50.0,2.0137043676959747,0.012048192771084265,1.0
161,0.75,0.5,3.0,26.0,50.0,50.0,1.7997306836740359,0.0,1.0
162,0.75,0.5154280066490173,3.0,26.0,50.0,50.0,1.8802816388173955,0.016666666666666607,1.0
163,0.75,0.5,3.0,26.0,50.0,50.0,3.3666996005101097,0.042154566744730726,1.0
164,0.75,0.5,3.0,26.0,50.0,50.0,3.3854308401287607,0.015730337078651457,1.0
165,0.75,0.5,3.0,26.0,50.0,50.0,3.549109791512531,0.0,1.0
166,0.75,0.5,3.0,26.0,50.0,50.0,0.10967837626254427,0.021017699115044364,1.0
167,0.75,0.5,6.0,26.0,50.0,50.0,4.065962804108782,-0.01625135427952329,0.0
168,0.75,0.5,3.0,26.0,50.0,50.0,1.38072336604836,0.0011013215859030367,1.0
169,0.75,0.5,11.0,26.0,50.0,50.0,2.379274514152867,-0.00990099009900991,1.0
170,0.75,0.5,5.0,26.0,50.0,50.0,4.578567669401969,0.006666666666666821,0.0
171,0.75,0.5,3.0,26.0,50.0,50.0,2.1030794436130016,-0.01655629139072856,0.0
172,0.75,0.6970414966344833,3.0,26.0,50.0,18.0,1.7414449876232434,-0.002244668911335568,-1.0
173,0.75,0.5,3.0,26.0,50.0,50.0,1.6881821275140545,0.0011248593925758943,-1.0
174,0.75,0.5,3.0,26.0,50.0,49.0,2.2014117695370476,0.011235955056179803,0.0
175,0.75,0.5,9.0,26.0,50.0,50.0,2.3299446761341716,-0.007777777777777772,0.0
176,0.75,0.5,3.0,26.0,50.0,10.0,1.855198608768351,0.005599104143337197,1.0
177,0.75,0.6391470804810524,3.0,26.0,50.0,10.0,1.3242443322474013,-0.00111358574610243,0.0
178,0.75,0.75,3.0,26.0,50.0,10.0,0.8476367957514379,-0.0078037904124861335,1.0
179,0.75,0.5,3.0,26.0,50.0,50.0,2.9448243348088963,0.022471910112359383,1.0
180,0.75,0.5,3.0,26.0,50.0,50.0,2.3089713320207963,-0.005494505494505364,1.0
181,0.75,0.5,4.0,26.0,50.0,50.0,0.3057012125507883,-0.009944751381215422,1.0
182,0.75,0.5,3.0,26.0,50.0,50.0,2.3089713320207963,0.0379464285714286,0.0
183,0.75,0.5,3.0,26.0,50.0,39.0,2.2665430889591365,-0.0021505376344087557,-1.0
184,0.75,0.5,3.0,26.0,50.0,40.0,2.6718871844392087,0.0237068965517242,0.0
185,0.75,0.5,3.0,26.0,50.0,50.0,2.324621625940013,0.0094736842105263,-1.0
186,0.75,0.5,3.0,26.0,50.0,34.0,2.324621625940013,0.030239833159541263,0.0
187,0.75,0.5,3.0,26.0,50.0,50.0,2.227129421555507,0.002024291497975561,-1.0
188,0.75,0.5,3.0,26.0,50.0,45.0,4.0553651930393855,-0.018181818181818188,0.0
189,0.75,0.5,3.0,26.0,50.0,50.0,3.0693815251116177,-0.0277777777777779,-1.0
190,0.75,0.5,3.0,26.0,50.0,50.0,4.936319500278287,0.0,-1.0
191,0.75,0.5,3.0,26.0,50.0,50.0,4.964601007615892,-0.0031746031746030523,-1.0
192,0.75,0.5,3.0,26.0,50.0,50.0,4.6122134263325,0.007430997876857859,-1.0
193,0.75,0.5,3.0,26.0,50.0,50.0,4.968467219850549,-0.01475237091675452,-1.0
194,0.75,0.5,3.0,26.0,50.0,50.0,2.857252807776494,-0.021390374331550777,-1.0
195,0.75,0.5997612178325653,3.0,26.0,50.0,40.0,2.09711361732781,-0.03825136612021851,0.0
196,0.75,0.5402149856090546,3.0,26.0,50.0,50.0,6.013148516079351,-0.01931818181818179,-1.0
197,0.75,0.5,4.0,26.0,50.0,50.0,8.022472108705932,-0.04750869061413676,-1.0
198,0.75,0.5,3.0,26.0,50.0,50.0,5.140196841641746,-0.013381995133820102,-1.0
199,0.75,0.7282707765698433,3.0,26.0,50.0,10.0,7.593863899283785,0.040690505548705236,-1.0
200,0.75,0.5,3.0,26.0,50.0,50.0,4.2772220561983,-0.04028436018957349,-1.0
201,0.75,0.6169314980506897,3.0,26.0,50.0,10.0,8.563227552367051,0.0,-1.0
202,0.75,0.5,3.0,26.0,50.0,50.0,6.0099050746895095,0.0,-1.0
203,0.75,0.5,3.0,26.0,50.0,10.0,8.051179269517474,-0.011111111111111072,-1.0
204,0.75,0.5,3.0,26.0,50.0,50.0,5.369134422918364,0.03495630461922583,-1.0
205,0.75,0.5,3.0,26.0,50.0,50.0,6.86408737530104,-0.036188178528347326,-1.0
206,0.75,0.5,3.0,26.0,50.0,50.0,6.251725213404913,0.02252816020025028,0.0
207,0.75,0.5,3.0,26.0,50.0,50.0,7.380492489619294,-0.022031823745410017,-1.0
208,0.75,0.5,3.0,26.0,50.0,50.0,5.353257149525625,-0.02252816020025039,-1.0
209,0.75,0.5,5.0,26.0,50.0,50.0,5.584679035874299,-0.04609475032010235,-1.0
210,0.75,0.5,3.0,26.0,50.0,50.0,6.997877509425367,-0.02684563758389269,-1.0
211,0.75,0.5,3.0,26.0,50.0,50.0,7.912877224535928,-0.013793103448275779,-1.0
212,0.75,0.5,3.0,26.0,50.0,50.0,8.12415441589873,-0.013986013986014068,-1.0
213,0.75,0.5,3.0,26.0,50.0,50.0,8.680885487710722,-0.05390070921985812,-1.0
214,0.75,0.5,3.0,26.0,50.0,50.0,8.78625135835878,-0.010494752623688153,-1.0
215,0.75,0.5,3.0,26.0,50.0,50.0,7.299404370184704,0.037878787878787845,-1.0
216,0.75,0.5,3.0,26.0,50.0,50.0,7.146956976809905,0.0014598540145986938,-1.0
217,0.75,0.5,3.0,26.0,50.0,50.0,8.316352122984794,-0.03206997084548113,-1.0
218,0.75,0.5,3.0,26.0,50.0,50.0,8.078301536602202,-0.0587349397590361,-1.0
219,0.75,0.5,3.0,26.0,50.0,50.0,8.167658470604037,0.016000000000000014,-1.0
220,0.75,0.5,3.0,26.0,50.0,50.0,8.026954080487828,-0.007874015748031482,-1.0
221,0.75,0.5,3.0,26.0,50.0,50.0,8.25614326495408,-0.060317460317460325,-1.0
222,0.75,0.5,3.0,26.0,50.0,50.0,9.27837182779834,-0.038851351351351315,-1.0
223,0.75,0.5,3.0,26.0,50.0,50.0,9.265973216377237,-0.010544815465729385,-1.0
224,0.75,0.5,3.0,26.0,50.0,50.0,9.265973216377237,0.06571936056838368,0.0
225,0.75,0.5,3.0,26.0,50.0,50.0,9.695263352987785,-0.06666666666666676,-1.0
226,0.75,0.5,3.0,26.0,50.0,50.0,9.695263352987785,0.0714285714285714,0.0
227,0.75,0.5,3.0,26.0,50.0,50.0,8.17173120681776,0.050000000000000044,-1.0
228,0.75,0.5,3.0,26.0,50.0,50.0,8.19984766421693,-0.007936507936507908,0.0
229,0.75,0.5,3.0,26.0,50.0,50.0,8.230318048272762,0.1200000000000001,0.0
230,0.75,0.5,3.0,26.0,50.0,50.0,8.18970891416593,0.0,0.0
231,0.75,0.5,3.0,26.0,50.0,50.0,8.18970891416593,0.008571428571428452,0.0
232,0.75,0.5,3.0,26.0,50.0,50.0,7.497841461120329,-0.015580736543909235,0.0
233,0.75,0.5,3.0,26.0,50.0,50.0,8.28360295308204,-0.021582733812949728,0.0
234,0.75,0.5,3.0,26.0,50.0,50.0,7.985775384119717,0.0,-1.0
235,0.75,0.5,3.0,26.0,50.0,50.0,8.478006687860738,-0.014705882352941124,0.0
236,0.75,0.5,3.0,26.0,50.0,50.0,9.138674766547947,-0.0313432835820896,-1.0
237,0.75,0.5,3.0,26.0,50.0,50.0,8.892307888009922,-0.0030816640986133237,-1.0
238,0.75,0.5,3.0,26.0,50.0,50.0,-0.21930493447288438,-0.013910355486862369,1.0
239,0.99,0.75,3.0,26.0,20.0,10.0,0.6091935233774324,0.026645768025078453,-1.0
240,0.99,0.75,3.0,26.0,20.0,10.0,2.533515265579654,-0.010687022900763288,-1.0
241,0.75,0.75,3.0,26.0,43.0,10.0,3.750174022552337,0.0,0.0
242,0.75,0.75,3.0,26.0,50.0,10.0,2.22379112714237,0.0,0.0
243,0.8065807700157166,0.75,3.0,26.0,20.0,10.0,3.0061707329151903,-0.00462962962962965,0.0
244,0.75,0.75,3.0,26.0,50.0,10.0,2.22379112714237,-0.007751937984496138,0.0
245,0.99,0.75,3.0,26.0,20.0,10.0,3.342397393452931,0.0,0.0
246,0.75,0.75,3.0,26.0,50.0,10.0,2.22379112714237,0.015625,0.0
247,0.8965831053256988,0.75,3.0,26.0,35.0,10.0,3.750174022552337,-0.01692307692307693,0.0
