,k_entry,k_exit,EMA_days_12,EMA_days_26,STD_rw,MXMN_rw,Sharpe,Daily_returns_ROVI,Position_ROVI
183,0.85,0.55,3,30,50,26,2.426564231299136,-0.0021505376344087557,-1.0
184,0.85,0.55,3,30,50,26,2.426564231299136,0.0237068965517242,0.0
185,0.85,0.55,3,30,50,26,2.4650942249471477,0.0094736842105263,-1.0
186,0.85,0.55,3,30,50,26,2.4650942249471477,0.030239833159541263,0.0
187,0.85,0.55,3,30,50,26,2.396372024889876,0.002024291497975561,-1.0
188,0.85,0.55,3,30,50,26,2.6366947953841757,-0.018181818181818188,0.0
189,0.85,0.55,3,30,50,26,3.074886389682645,-0.0277777777777779,-1.0
190,0.85,0.55,3,30,50,26,3.2007622797513218,0.0,-1.0
191,0.85,0.55,3,30,50,26,0.8559696779734541,-0.0031746031746030523,-1.0
192,0.85,0.55,3,30,50,26,0.711665773141662,0.007430997876857859,-1.0
193,0.85,0.55,3,30,50,26,2.4498845374370926,-0.01475237091675452,-1.0
194,0.85,0.55,3,30,50,26,2.8221830891455904,-0.021390374331550777,-1.0
195,0.85,0.55,3,30,50,26,3.4040425614334606,-0.03825136612021851,-1.0
196,0.85,0.55,3,30,50,26,6.624337434290817,-0.01931818181818179,-1.0
197,0.85,0.55,3,30,50,26,4.2899700235708265,-0.04750869061413676,-1.0
198,0.85,0.55,3,30,50,26,4.544003180433286,-0.013381995133820102,-1.0
199,0.85,0.55,3,30,50,26,3.6254658549919196,0.040690505548705236,-1.0
200,0.85,0.55,3,30,50,26,3.6451793471536873,-0.04028436018957349,-1.0
201,0.85,0.55,3,30,50,26,3.606593880651004,0.0,-1.0
202,0.85,0.55,3,30,50,26,3.940051273547528,0.0,-1.0
203,0.85,0.55,3,30,50,26,4.020898341508301,-0.011111111111111072,-1.0
204,0.85,0.55,3,30,50,26,3.2609911020146245,0.03495630461922583,-1.0
205,0.85,0.55,3,30,50,26,3.5023269440878932,-0.036188178528347326,-1.0
206,0.85,0.55,3,30,50,26,3.8476984035686432,0.02252816020025028,0.0
207,0.85,0.55,3,30,50,26,4.126822943522344,-0.022031823745410017,-1.0
208,0.85,0.55,3,30,50,26,4.363882273812466,-0.02252816020025039,-1.0
209,0.85,0.55,3,30,50,26,5.081007920182517,-0.04609475032010235,-1.0
210,0.85,0.55,3,30,50,26,5.378881718895578,-0.02684563758389269,-1.0
211,0.85,0.55,3,30,50,26,5.523385900087298,-0.013793103448275779,-1.0
212,0.85,0.55,3,30,50,26,5.6679853981662625,-0.013986013986014068,-1.0
213,0.85,0.55,3,30,50,26,7.131342555130333,-0.05390070921985812,-1.0
214,0.85,0.55,3,30,50,26,6.310506876287551,-0.010494752623688153,-1.0
215,0.85,0.55,3,30,50,26,6.4607898338105825,0.037878787878787845,-1.0
216,0.85,0.55,3,30,50,26,6.372050375862072,0.0014598540145986938,-1.0
217,0.85,0.55,3,30,50,26,6.671018912088121,-0.03206997084548113,-1.0
218,0.85,0.55,3,30,50,26,7.0390191644663185,-0.0587349397590361,-1.0
219,0.85,0.55,3,30,50,26,0.18317278377001792,0.016000000000000014,1.0
220,0.85,0.55,3,30,50,26,0.30194445116943525,-0.007874015748031482,0.0
221,0.85,0.55,3,30,50,26,-0.41862919346868643,-0.060317460317460325,1.0
222,0.85,0.55,3,30,50,26,-0.41862919346868643,-0.038851351351351315,0.0
223,0.85,0.55,3,30,50,26,-0.5480558888590304,-0.010544815465729385,1.0
224,0.85,0.55,3,30,50,26,0.13162406934980586,0.06571936056838368,1.0
